,stat_date,client_id,c_owner_verified_deal_concentration,n_owner_verified_deal_concentration,c_notary_datacap_alloc_concentration,n_notary_datacap_alloc_concentration,c_total_datacap_received,n_total_datacap_received,c_total_datacap_used,n_total_datacap_used,c_datacap_utilization_rate,n_datacap_utilization_rate,c_max_single_provider_datacap_spent,n_max_single_provider_datacap_spent,c_max_single_notary_datacap_received,n_max_single_notary_datacap_received,c_top3_provider_datacap_spent,n_top3_provider_datacap_spent,c_top3_notary_datacap_received,n_top3_notary_datacap_received,c_top3_provider_concentration_verified,n_top3_provider_concentration_verified,c_top3_notary_concentration,n_top3_notary_concentration,c_top5_provider_concentration_verified,n_top5_provider_concentration_verified,c_top5_notary_concentration,n_top5_notary_concentration,c_verified_deal_duration_avg,n_verified_deal_duration_avg,c_verified_deal_duration_std,n_verified_deal_duration_std,c_avg_price_per_epoch_per_unit_verified,n_avg_price_per_epoch_per_unit_verified,c_frac_paid_verified_deals,n_frac_paid_verified_deals,c_verified_deal_frequency,n_verified_deal_frequency,c_datacap_to_deal_timelapse_min,n_datacap_to_deal_timelapse_min,c_datacap_to_deal_timelapse_avg,n_datacap_to_deal_timelapse_avg,create_ts,stat_date_in_month,p_owner_verified_deal_concentration,p_notary_datacap_alloc_concentration,p_total_datacap_received,p_total_datacap_used,p_datacap_utilization_rate,p_max_single_provider_datacap_spent,p_max_single_notary_datacap_received,p_top3_provider_datacap_spent,p_top3_notary_datacap_received,p_top3_provider_concentration_verified,p_top3_notary_concentration,p_top5_provider_concentration_verified,p_top5_notary_concentration,p_verified_deal_duration_avg,p_verified_deal_duration_std,p_avg_price_per_epoch_per_unit_verified,p_frac_paid_verified_deals,p_verified_deal_frequency,p_datacap_to_deal_timelapse_min,p_datacap_to_deal_timelapse_avg
1197,2023-04-27,f01512680,0.9980109398309299,0.9980194671277196,0.0,0.0,82463372083200.0,0.0030838811880208477,68557610156032.0,0.0026452873362101674,0.8313704427083334,0.013386717744289643,21443429531648.0,0.00889573979965348,82463372083200.0,0.0030838811880208477,53148341239808.0,0.013307156927903411,82463372083200.0,0.0030838811880208477,0.775236200895077,0.7513775653287618,1.0,1.0,1.0,1.0,1.0,1.0,1540800.0,0.9926775089853119,0.0,0.0,1.0,1.0,1.0,1.0,0.033996291926512726,0.006799258385302545,1.364740562819008e-05,1.2979754149292245e-05,7.788501431271902e-06,0.014173266236829865,2023-04-28 04:38:43.255,202304,99,0,0,0,1,0,0,1,0,75,99,99,99,99,0,99,99,0,0,1
1198,2023-04-27,f019358,0.898876404494382,0.8988840847567644,0.0,0.0,5497558138880.0,0.0002055917132079569,3754304733184.0,0.00014485940721041505,0.682904052734375,0.010996109208940093,958817894400.0,0.000397762197977041,5497558138880.0,0.0002055917132079569,2186104799232.0,0.0005473515385525647,5497558138880.0,0.0002055917132079569,0.5822928490351873,0.5379533124728023,1.0,1.0,0.6867196367763905,0.6285003600675101,1.0,1.0,1452691.9213483145,0.9071308461943914,27820.983320514246,0.04713618815081605,0.9999961335112895,0.9999961335112895,0.9325842696629214,0.9325842696629214,0.0002655329305586634,5.310658611173268e-05,0.00014779781259237365,0.00014713025068041578,1.145261362741145e-06,0.0011718412228475656,2023-04-28 04:38:43.255,202304,89,0,0,0,1,0,0,0,0,53,99,62,99,90,4,99,93,0,0,0
1199,2023-04-27,f01885054,0.9997089033975132,0.9997174452021992,0.8333333333333334,0.8611111111111112,2067081860218880.0,0.07730263121712468,1639587122249728.0,0.06326327655280546,0.7931892557347074,0.012771923571110531,318378677895168.0,0.13207840659491338,2067081860218880.0,0.07730263121712468,822964052295680.0,0.2060518114956308,2067081860218880.0,0.07730263121712468,0.5019337131450908,0.44906406921995023,1.0,1.0,0.7631097434191375,0.7190866222263326,1.0,1.0,1540799.8284609306,0.9926773424331052,0.5463333084699331,9.256347744584531e-07,1.0,1.0,1.0,1.0,0.07134539531751341,0.014269079063502683,1.0,1.0,4.159989366032229e-06,0.007071938113521923,2023-04-28 04:38:43.255,202304,99,86,7,6,1,13,7,20,7,44,99,71,99,99,0,99,99,1,99,0
1200,2023-04-27,f01869693,0.9997134969005573,0.9997220387444916,0.8333333333333334,0.8611111111111112,2583852325273600.0,0.0966282891194398,1297744066822144.0,0.050073302406450006,0.502251639588082,0.00808724073793616,272703256788992.0,0.11313009981805282,2583852325273600.0,0.0966282891194398,684770438594560.0,0.17145121819291093,2583852325273600.0,0.0966282891194398,0.5276621609000258,0.4775235869297289,1.0,1.0,0.7755591586307702,0.7338496071159742,1.0,1.0,1524585.4664791373,0.9769343529359684,4778.843543951803,0.00809663935440155,1.0,1.0,1.0,1.0,0.14503023824183794,0.02900604764836759,1.0,1.0,8.13309832469436e-06,0.014847673698198971,2023-04-28 04:38:43.255,202304,99,86,9,5,0,11,9,17,9,47,99,73,99,97,0,99,99,2,99,1
1201,2023-04-27,f01943532,0.9999094443847029,0.9999179879028696,0.875,0.9041666666666667,6096660034622586.0,0.2279967102235856,6023490037612544.0,0.23241565568024158,0.9879983471942811,0.015908743136054733,943681355907072.0,0.39148328309992564,6096660034622586.0,0.2279967102235856,2762418274959360.0,0.6916478169142575,6096660034622586.0,0.2279967102235856,0.45860759422028785,0.40113889081116355,1.0,1.0,0.6911487545773034,0.6337525745737965,1.0,1.0,1524823.6585600525,0.9771656204648641,10217.244596661661,0.017310745567214937,1.0,1.0,1.0,1.0,1.135943989404791,0.2271887978809582,1.0,1.0,6.2952380694175544e-06,0.011250814026011266,2023-04-28 04:38:43.255,202304,99,90,22,23,1,39,22,69,22,40,99,63,99,97,1,99,99,22,99,1
1202,2023-04-27,f01925065,0.9997695804269047,0.999778122750033,0.875,0.9041666666666667,5136918324969472.0,0.19210526284109028,4999012293804032.0,0.1928863022538608,0.9731539373528467,0.01566971817642997,588893166501888.0,0.24430050315293717,5136918324969472.0,0.19210526284109028,1548461069565952.0,0.38770005532255636,5136918324969472.0,0.19210526284109028,0.30975340298426035,0.23648385479780998,1.0,1.0,0.44669794593414985,0.34387360974599523,1.0,1.0,1540095.4859897918,0.9919934761090416,3484.441386531168,0.005903575833529798,1.0,1.0,1.0,1.0,0.37409686704942613,0.07481937340988523,1.0,1.0,1.5645823359075428e-05,0.029550759869639325,2023-04-28 04:38:43.255,202304,99,90,19,19,1,24,19,38,19,23,99,34,99,99,0,99,99,7,99,3
1203,2023-04-27,f02006097,0.9991294254207778,0.9991379622742348,0.5,0.5166666666666666,329853488332800.0,0.012335525928490854,117478629834752.0,0.004532899135047358,0.35615397135416665,0.005734773403504932,51511958700032.0,0.021369575863191853,329853488332800.0,0.012335525928490854,117478629834752.0,0.029414023903205723,329853488332800.0,0.012335525928490854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1529634.3586767267,0.9818364673039637,2858.531290988487,0.004843116694141991,1.0,1.0,1.0,1.0,0.03242531169136674,0.006485062338273348,0.00015508684863523573,0.00015441929158987997,5.415056947961093e-06,0.009528219519221158,2023-04-28 04:38:43.255,202304,99,51,1,0,0,2,1,2,1,99,99,99,99,98,0,99,99,0,0,1
1204,2023-04-27,f02075011,0.9987357774968394,0.9987443109868537,0.0,0.0,109951162777600.0,0.004111841714739738,107864882413568.0,0.004161953819875171,0.981025390625,0.015796464461439765,81682761777152.0,0.03388583994055178,109951162777600.0,0.004111841714739738,107864882413568.0,0.027006956342508718,109951162777600.0,0.004111841714739738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1530521.8331226297,0.9826981417193071,969.4279630534121,0.0016424703015962036,1.0,1.0,1.0,1.0,0.10298138263246973,0.020596276526493946,5.534340583319497e-05,5.4675782193073266e-05,1.2787394879315913e-05,0.023956555361891646,2023-04-28 04:38:43.255,202304,99,0,0,0,1,3,0,2,0,99,99,99,99,98,0,99,99,2,0,2
1205,2023-04-27,f02130992,0.9995191382958262,0.9995276784791037,0.5,0.5166666666666666,844424930131968.0,0.03157894698866847,708962735357952.0,0.027355243880570184,0.8395805358886719,0.013518916815314237,143251654836224.0,0.05942750426113036,844424930131968.0,0.03157894698866847,329901538279424.0,0.08259997415392577,844424930131968.0,0.03157894698866847,0.46532987112906327,0.4085747361663748,1.0,1.0,0.694604731679169,0.6378508022307966,1.0,1.0,1540788.0374591267,0.9926658942109816,30.686421218376303,5.19910064845919e-05,1.0,1.0,1.0,1.0,1.1054755961548675,0.2210951192309735,0.16666666666666666,0.16666611028284103,0.00010034003962550751,0.1953050440061074,2023-04-28 04:38:43.255,202304,99,51,3,2,1,5,3,8,3,40,99,63,99,99,0,99,99,22,16,19
1206,2023-04-27,f01345229,0.9997571961005693,0.9997657383178823,0.75,0.775,5684475115601919.0,0.21258223653333053,5639587883843584.0,0.21760283616396084,0.9921035397560041,0.015974845022003668,426925386366976.0,0.1771086719308614,5629499534213119.0,0.21052631547989273,1189581923811328.0,0.29784473542377127,5684475115601919.0,0.21258223653333053,0.21093419382988401,0.12717500492924932,1.0,1.0,0.32274853965642625,0.19688974095766257,1.0,1.0,1540784.7208362166,0.9926626740065914,209.21473309312432,0.0003544657250029215,1.0,1.0,1.0,1.0,0.19278780609110324,0.03855756121822065,1.0,1.0,2.7377773051121014e-06,0.004288539760717285,2023-04-28 04:38:43.255,202304,99,77,21,21,1,17,21,29,21,12,99,19,99,99,0,99,99,3,99,0
1207,2023-04-27,f01919335,0.997864768683274,0.9978732947311347,0.0,0.0,54975581388800.0,0.002055920661301958,53825905885184.0,0.0020768662570655534,0.9790875244140625,0.015765260904156225,40000817201152.0,0.016594214515879915,54975581388800.0,0.002055920661301958,53825905885184.0,0.01347680397672913,54975581388800.0,0.002055920661301958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1343011.6334519573,0.8006391061965943,214592.31284010207,0.3635767836534853,1.0,1.0,1.0,1.0,0.018813100881069068,0.0037626201762138134,0.0002420135527589545,0.00024134605375113338,3.656675774335582e-06,0.006086907638413814,2023-04-28 04:38:43.255,202304,99,0,0,0,1,1,0,1,0,99,99,99,99,80,36,99,99,0,0,0
1208,2023-04-27,f02036989,0.9994874423372629,0.999495982249721,0.6666666666666667,0.688888888888889,1924145348608000.0,0.07195723647818646,806225222565888.0,0.03110810552662071,0.41900432477678573,0.00674679094746356,77455440216064.0,0.03213214870259401,1924145348608000.0,0.07195723647818646,232366320648192.0,0.058179334823591944,1924145348608000.0,0.07195723647818646,0.28821514651782315,0.21265931640424326,1.0,1.0,0.4770603408177936,0.37987847979497014,1.0,1.0,1540799.075532361,0.9926766113931434,2.8966233679934446,4.907654862619922e-06,1.0,1.0,1.0,1.0,0.21100962482812807,0.042201924965625616,1.0,1.0,3.386089458427101e-05,0.06519931091035212,2023-04-28 04:38:43.255,202304,99,68,7,3,0,3,7,5,7,21,99,37,99,99,0,99,99,4,99,6
1209,2023-04-27,f01885668,0.9997216423103689,0.9997301842238999,0.75,0.775,1236950581248000.0,0.04625822331021421,1224730057113600.0,0.04725606541688228,0.9901204427083333,0.015942913156957176,179115705499648.0,0.07430559444122374,1236950581248000.0,0.04625822331021421,494153435709440.0,0.12372497949945123,1236950581248000.0,0.04625822331021421,0.4034794711203897,0.34015892767415395,1.0,1.0,0.6189004871259568,0.5480778611390327,1.0,1.0,1540799.5059986082,0.9926770293451799,0.8098663202782681,1.372130194316219e-06,1.0,1.0,1.0,1.0,0.1872078541316005,0.037441570826320096,1.0,1.0,3.7396546661812515e-06,0.006249304876650821,2023-04-28 04:38:43.255,202304,99,77,4,4,1,7,4,12,4,34,99,54,99,99,0,99,99,3,99,0
1210,2023-04-27,f01945350,0.9991643454038998,0.9991728825557233,0.7142857142857143,0.7380952380952381,769658139443200.0,0.02878289435599309,489551109816320.0,0.018889272077562407,0.6360630580357143,0.010241874652886543,60000693125120.0,0.024891101010381257,549755813888000.0,0.020559210142241973,164660993064960.0,0.04122743349187472,769658139443200.0,0.02878289435599309,0.3363509749303621,0.26590475407036723,1.0,1.0,0.5260445682451254,0.43796581940468604,1.0,1.0,1538329.2770891364,0.9902786131866529,6607.163924149604,0.011194303173402111,1.0,1.0,1.0,1.0,0.08176093467096349,0.016352186934192697,1.0,1.0,1.626133142632355e-05,0.030755365137441648,2023-04-28 04:38:43.255,202304,99,73,2,1,1,2,2,4,2,26,99,43,99,99,1,99,99,1,99,3
